1933,7009,9306,60237,61091,70941,72659,,,,,,,,,,,,,,,
6744,,,,,,,,,,,,,,,,,,,,,
6123,1902600,,,,,,,,,,,,,,,,,,,,
8150,,,,,,,,,,,,,,,,,,,,,
11,6623,6886,6895,6897,32511,36010,36258,61709,,,,,,,,,,,,,
34599,55114,,,,,,,,,,,,,,,,,,,,
77,725,6281,6289,6301,6334,6348,31452,31509,31573,34729,43486,44783,51598,70911,2000677,,,,,,
920,1881,7015,7032,7118,42147,,,,,,,,,,,,,,,,
6378,8033,30846,98789,,,,,,,,,,,,,,,,,,
1178,6363,6368,6369,7062,16584,34728,42766,43044,60303,71441,71894,1900050,1902275,2000104,2000616,,,,,,
6283,6353,6364,6369,6378,8033,16180,31124,31126,32508,45005,45454,60257,1990248,,,,,,,,
3333,43200,,,,,,,,,,,,,,,,,,,,
6355,7124,,,,,,,,,,,,,,,,,,,,
6383,42791,,,,,,,,,,,,,,,,,,,,
6348,9299,16575,46459,98781,1990414,,,,,,,,,,,,,,,,
1015,6357,7049,10833,31936,32211,,,,,,,,,,,,,,,,
30010,,,,,,,,,,,,,,,,,,,,,
18345,,,,,,,,,,,,,,,,,,,,,
15719,55085,,,,,,,,,,,,,,,,,,,,
6357,6366,51123,,,,,,,,,,,,,,,,,,,
22,16925,51301,,,,,,,,,,,,,,,,,,,
7019,7026,7064,30473,30543,31110,31116,31578,35372,51225,51301,1904825,,,,,,,,,,
278,7020,7052,31122,51225,51321,51415,,,,,,,,,,,,,,,
16560,,,,,,,,,,,,,,,,,,,,,
5975,6409,9051,,,,,,,,,,,,,,,,,,,
5979,43666,,,,,,,,,,,,,,,,,,,,
6378,43631,71050,,,,,,,,,,,,,,,,,,,
184,398,6370,6970,45292,51028,,,,,,,,,,,,,,,,
955,9083,45944,90180,,,,,,,,,,,,,,,,,,
226,278,422,6470,7059,7096,32467,35335,51229,51301,70262,71470,71850,1903501,2000786,,,,,,,
278,6267,6270,30466,33314,43007,,,,,,,,,,,,,,,,
6417,10609,16071,,,,,,,,,,,,,,,,,,,
729,6281,6298,6310,90305,,,,,,,,,,,,,,,,,
7052,30951,46785,,,,,,,,,,,,,,,,,,,
7052,30435,51300,51301,51321,,,,,,,,,,,,,,,,,
7049,16567,31145,45842,51301,70979,,,,,,,,,,,,,,,,
70,725,1100,6974,7127,8104,51301,90579,,,,,,,,,,,,,,
7131,70193,71555,1990414,,,,,,,,,,,,,,,,,,
79,82,86,6279,10696,44772,45740,51301,1901673,,,,,,,,,,,,,
6335,,,,,,,,,,,,,,,,,,,,,
278,712,6468,10458,10696,32465,35025,51301,70194,90306,110083,1902542,1903353,1904750,1905339,,,,,,,
30474,71988,,,,,,,,,,,,,,,,,,,,
